,Customer_Number,Offer_Accepted,Reward,Mailer_Type,Income_Level,Bank_Accounts_Open,Overdraft_Protection,Credit_Rating,Credit_Cards_Held,Homes_Owned,Household_Size,Own_Your_Home,Q1,Q2,Q3,Q4,Balance
0,-1.731954579850946,0,2,0,2,-0.54136244817262,1,1,0.12108448455364827,1.8639655212321706,1.3471594215773128,1,0.08996511170501435,-1.4063891655988443,-1.959567406810704,-1.7455389433653794,-0.795982001957454
1,-1.7317621190686534,0,2,1,0,1.5750542991468819,1,1,0.12108448455364827,-0.4760997237045555,-1.3454141380506914,1,-2.658671844413933,-0.87681870924856,-1.4195980541693503,-1.6241095457720407,-1.01883249152329
2,-1.731569658286361,0,2,0,2,1.5750542991468819,1,0,-1.1336073044395085,-0.4760997237045555,0.4496349017013115,0,0.8876530442131826,1.078394164654471,1.67095824062344,0.141147667002763,-0.7007313894817339
3,-1.7313771975040682,0,2,0,2,-0.54136244817262,1,1,0.12108448455364827,-0.4760997237045555,2.244683941453314,1,0.85755161279778,1.9857679343766044,0.7863743011337423,-0.10714826538958619,-0.7977791833249205
4,-1.7311847367217756,0,2,0,2,-0.54136244817262,1,0,1.375776273546805,-0.4760997237045555,0.4496349017013115,0,0.49539376608121777,1.5127065206246737,0.8039342800814286,-0.5276202092948782,-0.5605512428193531
5,-1.7309922759394831,0,2,0,2,-0.54136244817262,1,1,0.12108448455364827,-0.4760997237045555,-0.4478896181746899,0,-2.631392422193725,-0.7137497577504542,-1.7795776225969195,-1.2580089739234674,-1.2165224419445961
6,-1.7307998151571906,0,0,1,1,-0.54136244817262,1,1,2.6304680625399617,-0.4760997237045555,0.4496349017013115,1,-2.6511464865600827,-1.2562365666946478,-1.3339931567993795,-1.3703764761740196,-0.9038128840054391
7,-1.7306073543748979,0,2,1,2,-0.54136244817262,1,2,0.12108448455364827,-0.4760997237045555,0.4496349017013115,1,0.08243975385116371,-0.025953982124780194,-0.23649447256898515,-0.2883861722453155,0.9778360077319015
8,-1.7304148935926054,0,2,0,0,1.5750542991468819,1,2,1.375776273546805,1.8639655212321706,0.4496349017013115,1,-0.03326262315178993,1.4594265661747974,0.9992890458744388,-0.9553416694743995,-1.2470745251915252
9,-1.7302224328103128,0,2,1,2,-0.54136244817262,1,1,1.375776273546805,-0.4760997237045555,-1.3454141380506914,1,0.5725286840831869,-0.23907379992428482,-0.3769743041504756,0.7482946549694562,1.2384273060145323
10,-1.7300299720280201,0,0,1,0,-0.54136244817262,1,1,1.375776273546805,1.8639655212321706,1.3471594215773128,1,0.8951784020670333,-0.5797425995886445,1.433898524829675,-0.26301286528551343,1.7542183584773945
11,-1.7298375112457276,0,1,0,2,-0.54136244817262,1,2,-1.1336073044395085,-0.4760997237045555,-1.3454141380506914,1,0.629909537718798,1.3657830098689545,0.8851491827144778,-0.130709193280831,-0.6000892329036144
12,-1.729645050463435,0,1,0,1,-0.54136244817262,1,0,-1.1336073044395085,-0.4760997237045555,-0.4478896181746899,0,0.26022633314838517,1.7532735876862358,0.08617014059475077,-1.0912700996161964,-0.131024895994879
13,-1.7294525896811423,0,2,0,1,1.5750542991468819,1,0,1.375776273546805,-0.4760997237045555,-0.4478896181746899,1,0.11348185499829762,1.4674992865459908,-0.21454449888437727,-0.3391327861649197,-0.5929005074337487
